0.1,0.1,0.1,1.0,1.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0.1,0.1,0.1,1.0,1.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1,10,10,5,5,1,1,2,2,1,1,1,1
0.1,0.1,0.1,1.0,1.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1,10,10,5,5,1,1,2,2,1,1,1,1
0.1,0.1,5.0,5.0,2.0,2.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0.1,0.1,5.0,5.0,2.0,2.0,0.1,0.1,0.1,0.1,0.1,0.1,0.6444444444444445
0.1,0.1,5.0,5.0,2.0,2.0,0.1,0.1,0.1,0.1,0.1,0.1,1.188888888888889
0.1,0.1,5.0,5.0,2.0,2.0,0.1,0.1,0.1,0.1,0.1,0.1,1.7333333333333336
0.1,0.1,5.0,5.0,2.0,2.0,0.1,0.1,0.1,0.1,0.1,0.1,2.277777777777778
0.1,0.1,5.0,5.0,2.0,2.0,0.1,0.1,0.1,0.1,0.1,0.1,2.8222222222222224
0.1,0.1,5.0,5.0,2.0,2.0,0.1,0.1,0.1,0.1,0.1,0.1,3.366666666666667
0.1,0.1,5.0,5.0,2.0,2.0,0.1,0.1,0.1,0.1,0.1,0.1,3.911111111111112
0.1,0.1,5.0,5.0,2.0,2.0,0.1,0.1,0.1,0.1,0.1,0.1,4.455555555555556
0.1,0.1,5.0,5.0,2.0,2.0,0.1,0.1,0.1,0.1,0.1,0.6444444444444445,4.455555555555556
0.1,0.1,5.0,5.0,2.0,2.0,0.1,0.1,0.1,0.1,0.1,1.188888888888889,4.455555555555556
0.1,0.1,5.0,5.0,2.0,2.0,0.1,0.1,0.1,0.1,0.1,1.7333333333333336,4.455555555555556
0.1,0.1,5.0,5.0,2.0,2.0,0.1,0.1,0.1,0.1,0.1,2.277777777777778,4.455555555555556
0.1,0.1,5.0,5.0,2.0,2.0,0.1,0.1,0.1,0.1,0.1,2.8222222222222224,4.455555555555556
1,10,10,5,5,1,1,2,2,1,1,1,1
1,10,10,5,5,1,1,2,2,1,1,1,1
1,10,10,5,5,1,1,2,2,1,1,1,1
1,10,10,5,5,1,1,2,2,1,1,1,1
1,10,10,5,5,1,1,2,2,1,1,1,1
1,10,10,5,5,1,1,2,2,1,1,1,1
1,10,10,5,5,1,1,2,2,1,1,1,1
1,10,10,5,5,1,1,2,2,1,1,1,1
1,10,10,5,5,1,1,2,2,1,1,1,1
1,10,10,5,5,1,1,2,2,1,1,1,1
1,10,10,5,5,1,1,2,2,1,1,1,1
1,10,10,5,5,1,1,2,2,1,1,1,1
1,10,10,5,5,1,1,2,2,1,1,1,1
1,10,10,5,5,1,1,2,2,1,1,1,1
1,10,10,5,5,1,1,2,2,1,1,1,1
